id,user_id,book_id,quantity,unit_price,timestamp,shipping,paid_price,year,month,day
71389,47288,18976,2,27.0,2024-10-01 10:38:08+00:00,Unknown,54.0,2024,10,1
66343,47049,19403,1,60.6,2024-10-19 10:14:00+00:00,"4940 Arnoldo Keys, West Arnette, KS 77599",60.6,2024,10,19
72606,46685,19500,1,45.99,2025-07-02 22:13:35+00:00,Unknown,45.99,2025,7,2
68462,45336,18992,1,85.2,2025-10-20 16:25:20+00:00,Unknown,85.2,2025,10,20
72691,45311,19388,1,52.25,2024-08-28 08:48:47+00:00,Unknown,52.25,2024,8,28
68274,45939,19251,3,22.75,2024-07-01 00:52:59+00:00,"Suite 161 84822 Volkman Gateway, Luketon, LA 46335",68.25,2024,7,1
66248,45486,19550,1,35.0,2025-02-07 22:10:29+00:00,Unknown,35.0,2025,2,7
64098,46656,19558,1,33.0,2024-10-30 15:56:00+00:00,Unknown,33.0,2024,10,30
73454,44440,18990,1,44.75,2024-11-11 13:34:17+00:00,Unknown,44.75,2024,11,11
67871,46293,19212,1,49.0,2024-07-15 01:16:06+00:00,Unknown,49.0,2024,7,15
71951,45542,18854,2,55.2,2024-12-23 16:02:39+00:00,Unknown,110.4,2024,12,23
66491,45800,19187,3,71.4,2025-04-02 03:37:00+00:00,Unknown,214.2,2025,4,2
69129,44820,18933,1,40.0,2024-05-17 12:18:07+00:00,Unknown,40.0,2024,5,17
69460,46705,19544,4,40.0,2024-04-25 07:22:00+00:00,Unknown,160.0,2024,4,25
67187,47497,19429,1,69.0,2025-01-20 21:14:00+00:00,Unknown,69.0,2025,1,20
64981,46213,19450,1,38.39,2024-10-03 19:46:00+00:00,Unknown,38.39,2024,10,3
68626,44898,18911,1,65.5,2024-09-23 00:23:47+00:00,Unknown,65.5,2024,9,23
71724,45512,18966,2,55.5,2024-11-01 13:56:57+00:00,Unknown,111.0,2024,11,1
65678,46448,19495,1,30.25,2024-10-03 03:34:00+00:00,Unknown,30.25,2024,10,3
73631,46411,19325,1,38.4,2024-08-09 16:02:42.627000+00:00,"72116 Guy Inlet, West Dionton, WA 64694",38.4,2024,8,9
66496,46161,19565,1,67.5,2024-09-08 22:25:43.253000+00:00,"Apt. 906 66777 Doyle Islands, Donettatown, MD 67566",67.5,2024,9,8
71989,45265,19314,3,31.99,2024-05-11 05:41:37+00:00,"939 Colby Square, Boganbury, AL 07963",95.97,2024,5,11
71813,47305,19584,1,43.0,2024-08-08 07:18:18.046000+00:00,"Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698",43.0,2024,8,8
64706,45141,19127,1,58.0,2025-03-18 20:43:05+00:00,Unknown,58.0,2025,3,18
64702,46531,18880,1,84.0,2024-12-24 09:16:50+00:00,"Apt. 264 3599 Balistreri Turnpike, West Luigistad, MT 75332",84.0,2024,12,24
64069,46100,19296,1,33.3,2025-04-02 18:51:44+00:00,Unknown,33.3,2025,4,2
71292,44947,19474,1,33.0,2024-08-02 18:44:05+00:00,Unknown,33.0,2024,8,2
63887,47049,19056,1,25.25,2025-04-06 02:59:55+00:00,Unknown,25.25,2025,4,6
